epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1338.67,1.09627,0.54036,1.02848,0.92551,0.85103,0.92524,0.66368,1.05586,0.53689,1.06927,0.000235404,0.000235404,0.000235404
43,1370.1,1.08857,0.53066,1.01525,0.93536,0.85897,0.93273,0.67148,1.04686,0.52334,1.06116,0.000214046,0.000214046,0.000214046
44,1401.04,1.08547,0.5298,1.02192,0.92353,0.86395,0.92586,0.66377,1.06448,0.55108,1.07742,0.000193486,0.000193486,0.000193486
45,1434.53,1.08132,0.52311,1.01649,0.91186,0.88186,0.92865,0.67167,1.03395,0.54927,1.06077,0.00017378,0.00017378,0.00017378
46,1459.66,1.0783,0.52075,1.01481,0.92742,0.8554,0.9305,0.66827,1.04985,0.54919,1.06816,0.000154982,0.000154982,0.000154982
47,1493.67,1.08563,0.52559,1.02078,0.92746,0.8691,0.9327,0.67483,1.03334,0.522,1.06164,0.000137143,0.000137143,0.000137143
48,1523.75,1.06923,0.51452,1.01257,0.92626,0.86301,0.92937,0.67575,1.04823,0.54867,1.06765,0.000120313,0.000120313,0.000120313
49,1553.56,1.07172,0.51043,1.01562,0.93284,0.85997,0.92928,0.6762,1.04097,0.53662,1.06597,0.000104537,0.000104537,0.000104537
50,1585.21,1.0708,0.51122,1.01717,0.92514,0.86525,0.93109,0.6747,1.04838,0.51831,1.0703,8.98581e-05,8.98581e-05,8.98581e-05
51,1616.71,1.00842,0.44398,1.0068,0.93325,0.85236,0.92309,0.66767,1.04788,0.53974,1.06865,7.63174e-05,7.63174e-05,7.63174e-05
52,1647.35,0.99977,0.43338,1.00637,0.90881,0.88432,0.92655,0.67136,1.03668,0.51377,1.0642,6.39518e-05,6.39518e-05,6.39518e-05
53,1678.11,0.99426,0.42861,1.00296,0.91198,0.88584,0.92957,0.67065,1.04999,0.52088,1.07115,5.2795e-05,5.2795e-05,5.2795e-05
54,1711.49,0.99567,0.42673,0.99915,0.90854,0.88737,0.93031,0.6733,1.04194,0.51558,1.0676,4.28777e-05,4.28777e-05,4.28777e-05
55,1740.23,0.98247,0.42262,0.99967,0.90471,0.8828,0.92837,0.67211,1.04445,0.52301,1.06756,3.4227e-05,3.4227e-05,3.4227e-05
56,1771.35,0.98766,0.4252,1.00135,0.9044,0.8784,0.9283,0.67122,1.04659,0.52421,1.06649,2.68667e-05,2.68667e-05,2.68667e-05
57,1800,0.98196,0.41929,0.99705,0.91028,0.88023,0.92879,0.67291,1.04577,0.51771,1.06712,2.08169e-05,2.08169e-05,2.08169e-05
58,1831.38,0.98219,0.41773,1.00076,0.9077,0.88313,0.92907,0.6744,1.04157,0.51727,1.065,1.60943e-05,1.60943e-05,1.60943e-05
59,1862.21,0.98536,0.41878,0.99932,0.93045,0.85997,0.92785,0.67329,1.04468,0.52287,1.06612,1.27117e-05,1.27117e-05,1.27117e-05
60,1892.79,0.97794,0.41635,1.00032,0.93226,0.85889,0.92791,0.6749,1.04376,0.51896,1.0656,1.06784e-05,1.06784e-05,1.06784e-05
